Month-Year,Actual,Predicted,Percentage Error,Price,Model
Apr 2025,456,455.9992477209385,0.00016497347839629727,"5,000 MMK",Prophet
Mar 2025,465,465.0023708890185,0.0005098686061276283,"5,000 MMK",Prophet
Feb 2025,597,596.991825596701,0.0013692467837511805,"5,000 MMK",Prophet
Jan 2025,786,785.9973371190838,0.00033878892063674465,"5,000 MMK",Prophet
Dec 2024,181,180.99913650503225,0.0004770690429534459,"5,000 MMK",Prophet
Nov 2024,284,283.9957285263679,0.0015040400113084103,"5,000 MMK",Prophet
May 2025,49,48.99624780808915,0.0076575345119357634,"10,000 MMK",Prophet
Apr 2025,813,812.9999249192899,9.23501968951797e-06,"10,000 MMK",Prophet
Mar 2025,762,762.0019867380493,0.00026072677811734906,"10,000 MMK",Prophet
Feb 2025,770,770.0006277877612,8.153087808207234e-05,"10,000 MMK",Prophet
Jan 2025,893,893.0011300697645,0.000126547566011825,"10,000 MMK",Prophet
Dec 2024,404,403.9953810611504,0.0011433016954463322,"10,000 MMK",Prophet
May 2025,132,132.00568046017926,0.004303378923684463,"20,000 MMK",Prophet
Apr 2025,982,982.0036624723488,0.00037296052431413674,"20,000 MMK",Prophet
Mar 2025,724,723.9967278178691,0.0004519588578590659,"20,000 MMK",Prophet
Feb 2025,782,782.000585777076,7.490755447900337e-05,"20,000 MMK",Prophet
Jan 2025,692,692.0021029022541,0.0003038876089793363,"20,000 MMK",Prophet
Dec 2024,500,500.0013556079058,0.00027112158115869537,"20,000 MMK",Prophet
Apr 2025,197,197.00246363649447,0.0012505769007453535,"50,000 MMK",Prophet
Mar 2025,329,328.9963861909285,0.001098422210185373,"50,000 MMK",Prophet
Feb 2025,448,448.0012749810237,0.000284593978504079,"50,000 MMK",Prophet
Jan 2025,341,341.00227173081595,0.0006661967202195185,"50,000 MMK",Prophet
Dec 2024,99,98.9984848081392,0.0015304968290950163,"50,000 MMK",Prophet
Nov 2024,118,117.99949461387035,0.00042829333020848534,"50,000 MMK",Prophet
May 2025,8,8.000161122278975,0.0020140284871850156,"100,000 MMK",Prophet
Apr 2025,108,107.99869217067774,0.00121095307616454,"100,000 MMK",Prophet
Mar 2025,123,123.00067952282771,0.0005524575835039744,"100,000 MMK",Prophet
Feb 2025,168,168.00016061845656,9.560622414385631e-05,"100,000 MMK",Prophet
Jan 2025,153,153.0003228792801,0.0002110322092191673,"100,000 MMK",Prophet
Dec 2024,36,35.999737373292554,0.0007295186317948478,"100,000 MMK",Prophet
