year,month,Price,sold_count
2024,5,5000,31
2024,6,5000,170
2024,7,5000,26
2024,8,5000,268
2024,9,5000,223
2024,10,5000,429
2024,11,5000,284
2024,12,5000,181
2025,1,5000,786
2025,2,5000,597
2025,3,5000,465
2025,4,5000,456
2024,5,10000,43
2024,6,10000,207
2024,7,10000,44
2024,8,10000,327
2024,9,10000,331
2024,10,10000,567
2024,11,10000,460
2024,12,10000,404
2025,1,10000,893
2025,2,10000,770
2025,3,10000,762
2025,4,10000,813
2025,5,10000,49
2024,5,20000,35
2024,6,20000,72
2024,7,20000,86
2024,8,20000,333
2024,9,20000,298
2024,10,20000,402
2024,11,20000,439
2024,12,20000,500
2025,1,20000,692
2025,2,20000,782
2025,3,20000,724
2025,4,20000,982
2025,5,20000,132
2024,5,50000,8
2024,6,50000,51
2024,7,50000,73
2024,8,50000,135
2024,9,50000,152
2024,10,50000,154
2024,11,50000,118
2024,12,50000,99
2025,1,50000,341
2025,2,50000,448
2025,3,50000,329
2025,4,50000,197
2024,6,100000,4
2024,7,100000,19
2024,8,100000,26
2024,9,100000,73
2024,10,100000,60
2024,11,100000,46
2024,12,100000,36
2025,1,100000,153
2025,2,100000,168
2025,3,100000,123
2025,4,100000,108
2025,5,100000,8
