year,month,Price,predicted_sold_count,lower_bound,upper_bound,mape
2025,5,5000,594,534,653,0.0007671930607722067
2025,6,5000,990,891,1089,0.0007671930607722067
2025,7,5000,591,531,650,0.0007671930607722067
2025,8,5000,957,861,1052,0.0007671930607722067
2025,9,5000,993,992,995,0.0007671930607722067
2025,10,5000,951,855,1046,0.0007671930607722067
2025,11,5000,997,897,1096,0.0007671930607722067
2025,6,10000,859,773,944,0.001014381380401656
2025,7,10000,990,891,1089,0.001014381380401656
2025,8,10000,957,861,1052,0.001014381380401656
2025,9,10000,951,855,1046,0.001014381380401656
2025,10,10000,997,897,1096,0.001014381380401656
2025,11,10000,967,870,1063,0.001014381380401656
2025,12,10000,965,868,1061,0.001014381380401656
2025,6,20000,1003,902,1103,0.001028246858778976
2025,7,20000,992,892,1091,0.001028246858778976
2025,8,20000,990,891,1089,0.001028246858778976
2025,9,20000,957,861,1052,0.001028246858778976
2025,10,20000,951,855,1046,0.001028246858778976
2025,11,20000,997,897,1096,0.001028246858778976
2025,12,20000,967,870,1063,0.001028246858778976
2025,5,50000,176,158,193,0.000631259394029109
2025,6,50000,248,248,249,0.000631259394029109
2025,7,50000,531,477,584,0.000631259394029109
2025,8,50000,475,471,479,0.000631259394029109
2025,9,50000,514,462,565,0.000631259394029109
2025,10,50000,376,370,381,0.000631259394029109
2025,11,50000,181,162,199,0.000631259394029109
2025,6,100000,44,44,44,0.001116709793019297
2025,7,100000,51,51,51,0.001116709793019297
2025,8,100000,81,81,81,0.001116709793019297
2025,9,100000,45,45,45,0.001116709793019297
2025,10,100000,137,137,137,0.001116709793019297
2025,11,100000,85,85,85,0.001116709793019297
2025,12,100000,122,122,122,0.001116709793019297
